site,site_code,date,scale_cm,nail,sediment_depth,turf_length,rugo_mean,slope_mean,slope_var,sapr,std_curve,plan_curve,tpi
Southcanyon,SC,20231020,25,18,2,4,-0.3262928571010074,-1.1181325913465847,19.202847,-0.42645059826176146,-0.15167201471525285,0.49761463700604935,-0.280101701615369
Southcanyon,SC,20231020,25,19,3,4,-0.2620225474617897,1.223667874833332,24.01663158,0.16893024756276218,0.2541761777864442,-0.4245968887029618,0.02428698726361676
Southcanyon,SC,20231020,25,20,1,2,-0.4854966882922255,-0.45788824966493663,21.60214546,-0.28781140291625296,-0.08656806350958529,-0.04423605928140228,-0.011216139106651755
Southcanyon,SC,20231020,25,21,2,3,-0.03209797237188535,0.5673167332505925,21.89139819,-0.23205834101357875,-1.0063220994995754,-0.00477565835098851,-0.24708961222375186
Southcanyon,SC,20231020,25,22,3,4,-0.3428078910408143,-0.20476669184227309,21.8666925,-0.25728269080410265,0.8135994187931169,-0.14100134478742457,0.9727632381598116
Southcanyon,SC,20231020,25,23,2,4,-0.2229249226059674,0.6517730844699821,22.1631871,-0.21815552830799917,0.031793841212715154,0.44168083144733444,-0.2096895654968565
Southcanyon,SC,20231020,25,24,1,1,-0.33494682670615794,0.5653949740407609,22.73986562,-0.24906021756708946,0.8424693038285457,0.457107596063628,1.3183166562535418
Southcanyon,SC,20231020,25,25,1,2,0.13163007519039369,0.83168648433149,22.50476507,-0.17805679819288958,0.18148039748562356,-0.2548361635438713,0.251215214649945
Southcanyon,SC,20231020,50,1,2,5,-0.34610015151635887,0.9480269865419758,22.92277212,-0.34295142188979805,0.5278487190910889,-0.28744008147311695,0.8344465733075825
Southcanyon,SC,20231020,50,2,3,6,-0.4083534303848836,0.2650495530856482,21.36373341,-0.39232677808291155,0.7431106828400392,0.13943464352906076,0.9417772898456997
Southcanyon,SC,20231020,50,3,1,4,-0.06273820460941974,0.1296632770393867,21.94117799,0.09988314994687997,-0.2857211316720204,0.19949942836292794,-0.0948794085543438
Southcanyon,SC,20231020,50,4,0.5,2,-0.34205450614270627,0.3985936168129424,20.73229078,-0.20894465620233832,0.7232442130338493,0.21093718401343753,0.9368203915269172
Southcanyon,SC,20231020,50,5,2,3,-0.5179623876282843,1.205974783412093,22.41127672,-0.26291325770968793,-0.07620200530249144,0.3656248857322387,0.36459377384271463
Southcanyon,SC,20231020,50,6,1,1.5,-0.36125777473719906,0.8465259741971547,23.42697443,-0.35662229131750606,-0.5188600796168695,0.7529497480544634,-0.5373312990774074
Southcanyon,SC,20231020,50,7,2,2,-0.013548599926637019,0.5359488332714644,22.15820102,0.25970275780348895,-0.22289135894060716,0.17345990686044105,0.027654904533094375
Southcanyon,SC,20231020,50,8,4,6,-0.3570547812250314,-0.011144836523360138,21.30492013,-0.30352352308807534,1.2173073535699657,0.07990719421860872,1.1289659851809624
Southcanyon,SC,20231020,50,9,3,5,-0.2502946775452661,0.8202856184555571,24.03889285,0.09252873971114332,-0.2906510297230522,-1.0613915410198103,-0.16010280290329557
Southcanyon,SC,20231020,50,10,1,1,-0.440859728705073,0.2758006198246882,22.16109081,-0.2981031095308319,0.06472561630651777,-0.09832830001883842,0.15744449527742735
Southcanyon,SC,20231020,50,11,1,1,-0.07744200485344406,0.95334448996358,23.16096685,-0.44358344548879935,0.620175047436603,0.3031693533684985,0.7468581088970704
Southcanyon,SC,20231020,50,12,1,3,-0.42123703976380894,0.7543241882955947,22.19767742,-0.28718007266157997,0.1372348389471935,0.07022687076436136,0.22765892440417204
Southcanyon,SC,20231020,50,13,1,2,-0.4869106431473319,-0.20488598498305174,19.70054814,0.6248555431513644,0.05494807950371063,0.23014248738463924,-0.019135868714656834
Southcanyon,SC,20231020,50,14,1,2,-0.3565566540393576,0.07937018664151654,21.88912856,-0.09180329341305518,-1.2071645191604945,0.11809884444467193,0.24534303252394954
Southcanyon,SC,20231020,50,15,3,5,-0.4968663969665135,1.249599697420449,24.04218229,0.38749555102331446,0.7607798843065655,-1.4250666397386311,0.14389089869789223
Southcanyon,SC,20231020,50,16,1,3,-0.3201641277107698,0.6120725320918573,22.22218471,-0.4264505974636224,-0.45622907446263494,-0.1304176282818881,-0.15374986564623883
Southcanyon,SC,20231020,50,17,1,3,-0.23037115416874487,1.0420286609818044,22.97244359,0.16893024735797058,0.04520340670505407,-0.508610845724346,0.3459666460427785
Southcanyon,SC,20231020,50,18,2,4,-0.4303415073814367,-1.1221502184957723,19.95364835,-0.28781140213108614,0.00893447507996362,0.44084806504827223,0.012745734942736953
Southcanyon,SC,20231020,50,19,3,4,-0.3823653289404476,0.7466231382100609,23.63701443,-0.23205834025125238,0.3455845560109592,-0.259605032367158,0.5493132653095678
Southcanyon,SC,20231020,50,20,1,2,-0.48642808182261205,-0.4845815648932373,21.46128298,-0.25728269039512014,-0.10122000849755358,0.10742451536446072,0.13041197562244208
Southcanyon,SC,20231020,50,21,2,3,-0.04738594160009351,0.7472470880068633,22.06200406,-0.21815552789784795,-1.010479909997674,-0.12371688512657374,-0.7163087536682418
Southcanyon,SC,20231020,50,22,3,4,0.3353747822865276,-0.1948501271348687,21.06976079,-0.24906021658715818,-0.024585491994410364,-0.008838063390935154,-0.07416497852117562
Southcanyon,SC,20231020,50,23,2,4,-0.4560831405157538,0.5096928778784292,21.80156038,-0.178056798612898,-0.022056714616210737,0.3186723190079041,-0.09360853663244069
Southcanyon,SC,20231020,50,24,1,1,-0.4886555903855996,0.552743381748189,22.74243353,-0.21394370054674086,-0.6226883684466231,0.4253658568534187,-0.8031931536116672
Southcanyon,SC,20231020,50,25,1,2,-0.24180504016942575,0.8225854950858834,22.688567,-0.14954282832025986,-0.23646155499598884,-0.3126409511070916,-0.3006170023043106
Southcanyon,SC,20231020,100,1,2,5,-0.3148598234262447,0.85944628842722115,22.54111408,-0.34295142188979805,0.2322427075994462,-0.056975919312228875,0.3527903819636851
Southcanyon,SC,20231020,100,2,3,6,-0.4654494284010055,0.21347855435065394,21.45242263,-0.3207933018390326,0.26454107544177546,0.13199464391790725,0.43791390956316434
Southcanyon,SC,20231020,100,3,1,4,-0.2960831778935891,0.37069527723641155,21.48001427,-0.39232677808291155,0.033559861911421775,0.18798048342749693,0.022002831450092214
Southcanyon,SC,20231020,100,4,0.5,2,-0.21348751279893693,0.8790766797861069,22.0112118,0.09988314994687997,0.42556334452374167,0.18871632255365522,0.3993454002913967
Southcanyon,SC,20231020,100,5,2,3,-0.42626220457522657,0.9592579106461236,22.24861574,-0.20894465620233832,-0.10458298520312441,0.017485015492334628,-0.050324431136519236
Southcanyon,SC,20231020,100,6,1,1.5,-0.40587293525669754,0.8961747997460953,22.55329419,-0.26291325770968793,-0.15022459750442854,0.37441602766006404,0.008097138631153083
